City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Atuona,PF,79.03,overcast clouds,-9.8,-139.0333,Villa Enata
2,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Itarema,BR,77.27,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
7,Busselton,AU,78.85,broken clouds,-33.65,115.3333,Observatory Guest House
9,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Kudahuvadhoo,MV,82.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
17,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Banda Aceh,ID,84.09,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
21,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
25,Rikitea,PF,80.49,broken clouds,-23.1203,-134.9692,People ThankYou
28,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
31,Vaini,TO,82.35,clear sky,-21.2,-175.2,Keleti Beach Resort
34,Pochutla,MX,77.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
44,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
48,Luganville,VU,85.28,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
49,Timbiqui,CO,75.81,overcast clouds,2.7717,-77.6654,Hotel Sharey
53,Metro,ID,87.01,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
56,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
65,Esperance,AU,80.44,few clouds,-33.8667,121.9,Hospitality Esperance
70,Matara,LK,84.51,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
75,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
77,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
95,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
98,Sai Buri,TH,83.91,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
102,Arraial Do Cabo,BR,76.71,clear sky,-22.9661,-42.0278,Pousada Porto Praia
104,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
105,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
108,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
109,Biak,ID,84.13,broken clouds,-0.9131,122.8766,Penginapan Kim
115,Geraldton,AU,79.21,few clouds,-28.7667,114.6,Broadwater Mariner Resort
119,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
120,Hobyo,SO,80.02,broken clouds,5.3505,48.5268,Iftin hotel hobyo
123,Victoria,HK,81.25,scattered clouds,22.2855,114.1577,Mini Hotel Central
124,Paka,MY,84.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
126,Faanui,PF,82.0,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Soe,ID,82.04,broken clouds,-9.8607,124.284,Dena Hotel
139,Tautira,PF,81.05,broken clouds,-17.7333,-149.15,Pension Oaoa
148,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
150,Nabire,ID,84.94,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
151,Luanda,AO,77.25,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
152,Touros,BR,79.11,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
160,Kawalu,ID,87.46,overcast clouds,-7.3817,108.2082,West Jontor
174,Sambava,MG,75.96,overcast clouds,-14.2667,50.1667,Melrose
175,Porbandar,IN,76.98,clear sky,21.6422,69.6093,Lords Inn Porbandar
177,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
185,Mogadishu,SO,76.87,scattered clouds,2.0371,45.3438,Hotel Juba
186,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
187,Katobu,ID,84.99,broken clouds,-4.9408,122.5276,La Ode Husein
196,Popondetta,PG,88.54,scattered clouds,-8.7537,148.2534,Timos Transit House
198,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
199,Pontianak,ID,87.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
201,Carutapera,BR,75.78,light rain,-1.195,-46.02,Lidera
202,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
206,Tual,ID,82.35,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
210,Ilheus,BR,75.92,overcast clouds,-14.7889,-39.0494,Barravento Hotel
211,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
212,Sibolga,ID,85.51,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
218,Boa Vista,BR,84.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
219,Butaritari,KI,81.68,clear sky,3.0707,172.7902,Isles Sunset Lodge
223,Kuala Terengganu,MY,82.35,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
228,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
239,Emerald,AU,88.34,broken clouds,-23.5333,148.1667,The Irish Village
251,Miandrivazo,MG,77.95,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
252,Port Macquarie,AU,76.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
254,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
257,Port Lincoln,AU,78.48,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
265,Mareeba,AU,77.43,light rain,-17.0,145.4333,Trinity Plains Tourist Park
269,Epe,NG,77.5,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
271,Omboue,GA,78.1,light rain,-1.5746,9.2618,Hotel Olako
272,Hinganghat,IN,88.48,clear sky,20.5667,78.8333,Zambre Villa
279,Kirakira,SB,85.14,scattered clouds,-10.4544,161.9205,SanBiz Lodge
286,Gondanglegi,ID,87.19,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
287,Xucheng,CN,77.79,broken clouds,20.35,110.1288,Haixing Hotel
289,Meulaboh,ID,84.51,scattered clouds,4.1363,96.1285,Kost Pria
290,Kununurra,AU,89.58,few clouds,-15.7667,128.7333,Hotel Kununurra
292,Caravelas,BR,76.93,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
297,Gladstone,AU,84.13,overcast clouds,-23.85,151.25,Highpoint International Hotel
298,Bodhan,IN,87.67,clear sky,18.6667,77.9,Rahman. House
301,Bengkulu,ID,84.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
304,Veraval,IN,85.19,clear sky,20.9,70.3667,Lords Inn Somnath
316,Auki,SB,85.73,broken clouds,-8.7676,160.7034,Auki Motel
318,Neiafu,TO,84.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
321,Sinnamary,GF,75.79,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
327,Kot Addu,PK,84.38,broken clouds,30.4692,70.9671,Mohammad Ayub General Store
333,Alyangula,AU,80.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
351,Toyo,PH,78.6,light rain,10.7333,125.0167,Florina Country Lodge
354,Sao Joao Da Barra,BR,77.31,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
355,Mayumba,GA,78.57,light rain,-3.432,10.6554,LIKWALE LODGE
357,Vao,NC,79.75,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
360,Bundaberg,AU,82.69,scattered clouds,-24.85,152.35,Takalvan Motel
368,Sri Aman,MY,87.85,few clouds,1.2376,111.4621,Seri Simanggang Hotel
370,Aborlan,PH,85.53,broken clouds,9.4352,118.5492,Kevina Transient House
374,Muzaffarabad,PK,75.02,overcast clouds,34.37,73.4711,Pearl Continental Muzaffarabad
379,Mount Gambier,AU,80.51,overcast clouds,-37.8333,140.7667,The Commodore
383,Beawar,IN,84.78,clear sky,26.1,74.3167,HOTEL JYOTI PARADISE
385,La Union,PE,78.76,overcast clouds,-5.4,-80.75,Los Portales
392,Kattivakkam,IN,84.29,scattered clouds,13.2167,80.3167,Euronova Freezer
396,Namatanai,PG,85.3,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
402,Anloga,GH,81.46,broken clouds,5.7947,0.8973,Pin Drop Hotel
404,Lorengau,PG,86.58,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
410,Tiarei,PF,84.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
413,Hutang,CN,78.42,few clouds,31.5333,119.4833,Dongyuan Restaurant
415,Sabang,ID,81.72,overcast clouds,5.8933,95.3214,Hotel Citra
416,Port-Gentil,GA,81.1,light rain,-0.7193,8.7815,Fengshui Residence
423,Biloela,AU,86.94,scattered clouds,-24.4167,150.5,Biloela Silo Motor Inn
425,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
