City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Reconquista,AR,2022-03-14 03:36:51,-29.15,-59.65,60.04,73,0,4.59,clear sky
1,Atuona,PF,2022-03-14 03:36:51,-9.8,-139.0333,79.03,74,100,14.94,overcast clouds
2,Mahebourg,MU,2022-03-14 03:36:52,-20.4081,57.7,81.25,89,75,8.05,broken clouds
3,East London,ZA,2022-03-14 03:33:54,-33.0153,27.9116,63.54,94,75,17.27,light rain
4,Itarema,BR,2022-03-14 03:36:52,-2.9248,-39.9167,77.27,85,98,5.66,overcast clouds
5,Tulle,FR,2022-03-14 03:36:52,45.3333,1.8333,32.54,97,90,4.03,overcast clouds
6,Conceicao Do Coite,BR,2022-03-14 03:36:52,-11.5639,-39.2828,71.33,88,2,3.33,clear sky
7,Busselton,AU,2022-03-14 03:36:53,-33.65,115.3333,78.85,54,64,6.76,broken clouds
8,Lompoc,US,2022-03-14 03:36:53,34.6391,-120.4579,54.59,79,0,30.0,clear sky
9,Puerto Ayora,EC,2022-03-14 03:36:53,-0.7393,-90.3518,76.55,97,38,1.01,scattered clouds
10,Severo-Yeniseyskiy,RU,2022-03-14 03:36:54,60.3725,93.0408,1.36,84,44,2.17,scattered clouds
11,Kudahuvadhoo,MV,2022-03-14 03:36:54,2.6708,72.8944,82.8,66,97,3.24,overcast clouds
12,Hermanus,ZA,2022-03-14 03:36:54,-34.4187,19.2345,59.67,62,60,10.74,broken clouds
13,Jamestown,US,2022-03-14 03:36:17,42.097,-79.2353,35.71,49,100,11.01,overcast clouds
14,Beringovskiy,RU,2022-03-14 03:36:54,63.05,179.3167,4.87,85,2,6.08,clear sky
15,Ushuaia,AR,2022-03-14 03:34:13,-54.8,-68.3,38.86,81,100,14.97,moderate rain
16,Marsabit,KE,2022-03-14 03:36:55,2.3284,37.9899,64.2,76,80,15.9,broken clouds
17,Kapaa,US,2022-03-14 03:36:55,22.0752,-159.319,80.58,70,20,10.36,few clouds
18,Bethel,US,2022-03-14 03:36:55,41.3712,-73.414,29.64,72,20,5.75,few clouds
19,Banda Aceh,ID,2022-03-14 03:36:56,5.5577,95.3222,84.09,72,90,8.93,overcast clouds
20,Fort Nelson,CA,2022-03-14 03:34:56,58.8053,-122.7002,-0.81,78,75,0.0,light snow
21,Souillac,MU,2022-03-14 03:36:56,-20.5167,57.5167,79.18,89,75,8.05,light rain
22,Severo-Kurilsk,RU,2022-03-14 03:36:56,50.6789,156.125,30.43,81,97,7.38,light snow
23,Albany,US,2022-03-14 03:36:57,42.6001,-73.9662,26.76,66,41,6.02,scattered clouds
24,Cape Town,ZA,2022-03-14 03:36:57,-33.9258,18.4232,59.41,69,40,6.91,scattered clouds
25,Rikitea,PF,2022-03-14 03:36:57,-23.1203,-134.9692,80.49,71,70,14.36,broken clouds
26,Karla,EE,2022-03-14 03:36:57,59.3723,24.9275,30.56,90,0,4.61,clear sky
27,Asau,RO,2022-03-14 03:36:58,46.4333,26.4,27.52,94,56,3.36,broken clouds
28,Hambantota,LK,2022-03-14 03:36:58,6.1241,81.1185,82.74,78,20,4.61,few clouds
29,Kodiak,US,2022-03-14 03:36:06,57.79,-152.4072,38.71,87,100,13.8,overcast clouds
30,Tasiilaq,GL,2022-03-14 03:36:58,65.6145,-37.6368,28.67,96,100,29.59,snow
31,Vaini,TO,2022-03-14 03:36:59,-21.2,-175.2,82.35,70,4,1.77,clear sky
32,Hobart,AU,2022-03-14 03:36:59,-42.8794,147.3294,62.46,88,75,11.5,broken clouds
33,Capaci,IT,2022-03-14 03:36:59,38.1711,13.2393,53.2,82,40,2.3,scattered clouds
34,Pochutla,MX,2022-03-14 03:37:00,15.7432,-96.4661,77.83,72,1,4.36,clear sky
35,Ulladulla,AU,2022-03-14 03:37:00,-35.35,150.4667,73.76,76,24,6.44,few clouds
36,Venice,US,2022-03-14 03:32:21,27.0998,-82.4543,60.98,75,75,10.36,broken clouds
37,Clyde River,CA,2022-03-14 03:37:00,70.4692,-68.5914,-9.17,84,100,31.07,heavy snow
38,Qaanaaq,GL,2022-03-14 03:37:01,77.484,-69.3632,-8.72,100,100,1.83,overcast clouds
39,Kyabe,TD,2022-03-14 03:37:01,9.4515,18.9449,80.65,32,16,5.53,few clouds
40,Aksu,CN,2022-03-14 03:37:01,41.1231,80.2644,56.53,27,100,1.57,overcast clouds
41,Oranjemund,NA,2022-03-14 03:37:02,-28.55,16.4333,59.54,71,11,17.98,few clouds
42,Mar Del Plata,AR,2022-03-14 03:35:15,-38.0023,-57.5575,64.09,91,1,3.0,clear sky
43,New Norfolk,AU,2022-03-14 03:37:02,-42.7826,147.0587,62.1,67,100,1.99,overcast clouds
44,Conde,BR,2022-03-14 03:37:02,-7.2597,-34.9075,76.46,94,40,2.3,scattered clouds
45,Lagoa,PT,2022-03-14 03:37:03,39.05,-27.9833,55.11,62,82,8.12,broken clouds
46,Mataura,NZ,2022-03-14 03:37:03,-46.1927,168.8643,65.48,51,67,7.4,broken clouds
47,Sanson,NZ,2022-03-14 03:37:03,-40.2167,175.4167,71.22,63,100,10.04,overcast clouds
48,Luganville,VU,2022-03-14 03:37:03,-15.5333,167.1667,85.28,73,39,7.81,scattered clouds
49,Timbiqui,CO,2022-03-14 03:37:04,2.7717,-77.6654,75.81,91,98,1.3,overcast clouds
50,Bubaque,GW,2022-03-14 03:37:04,11.2833,-15.8333,74.75,73,72,14.23,broken clouds
51,Ponta Do Sol,PT,2022-03-14 03:37:04,32.6667,-17.1,54.23,74,84,24.58,broken clouds
52,Kang,BW,2022-03-14 03:37:04,-23.6752,22.7876,66.42,86,98,9.06,overcast clouds
53,Metro,ID,2022-03-14 03:37:05,-5.1131,105.3067,87.01,67,80,2.44,broken clouds
54,Ojinaga,MX,2022-03-14 03:37:05,29.5667,-104.4167,67.15,19,0,3.44,clear sky
55,Portland,US,2022-03-14 03:36:03,45.5234,-122.6762,49.84,88,100,5.99,overcast clouds
56,Carnarvon,AU,2022-03-14 03:37:05,-24.8667,113.6333,84.27,48,0,13.8,clear sky
57,Concepcion Del Uruguay,AR,2022-03-14 03:37:06,-32.4825,-58.2372,60.98,88,5,1.7,clear sky
58,Westport,US,2022-03-14 03:37:06,41.1415,-73.3579,31.82,71,75,10.36,broken clouds
59,Spokane,US,2022-03-14 03:35:16,47.6166,-117.3677,43.34,77,20,11.5,few clouds
60,Loa Janan,ID,2022-03-14 03:37:06,-0.583,117.095,93.24,48,25,0.51,scattered clouds
61,Chuy,UY,2022-03-14 03:37:07,-33.6971,-53.4616,58.75,88,0,3.49,clear sky
62,Rehoboth,NA,2022-03-14 03:37:07,-23.3167,17.0833,60.87,83,100,7.47,overcast clouds
63,Port Alfred,ZA,2022-03-14 03:37:07,-33.5906,26.891,65.95,85,100,26.69,light rain
64,Barra Do Garcas,BR,2022-03-14 03:34:56,-15.89,-52.2567,72.86,93,94,1.54,overcast clouds
65,Esperance,AU,2022-03-14 03:37:07,-33.8667,121.9,80.44,60,11,17.31,few clouds
66,La Sarre,CA,2022-03-14 03:37:08,48.8002,-79.1996,3.27,100,90,3.06,overcast clouds
67,Prainha,BR,2022-03-14 03:37:08,-1.8,-53.48,72.91,98,100,1.66,light rain
68,Redlands,US,2022-03-14 03:37:08,34.0556,-117.1825,62.35,61,0,6.91,clear sky
69,Ngunguru,NZ,2022-03-14 03:37:09,-35.6167,174.5,68.63,73,32,8.57,scattered clouds
70,Matara,LK,2022-03-14 03:37:09,5.9485,80.5353,84.51,68,79,2.26,broken clouds
71,Torbay,CA,2022-03-14 03:35:32,47.6666,-52.7314,25.57,59,20,32.21,few clouds
72,Biltine,TD,2022-03-14 03:37:09,14.5333,20.9167,73.27,15,16,13.47,few clouds
73,Khatanga,RU,2022-03-14 03:37:10,71.9667,102.5,-1.46,94,100,11.52,light snow
74,Jasper,US,2022-03-14 03:37:10,37.2001,-94.3502,53.65,35,0,12.66,clear sky
75,Bathsheba,BB,2022-03-14 03:37:10,13.2167,-59.5167,77.61,73,75,23.02,broken clouds
76,Aswan,EG,2022-03-14 03:37:10,24.0934,32.907,51.1,50,0,5.75,clear sky
77,Alofi,NU,2022-03-14 03:37:11,-19.0595,-169.9187,80.49,83,11,5.75,few clouds
78,Bredasdorp,ZA,2022-03-14 03:37:11,-34.5322,20.0403,54.57,72,50,5.14,scattered clouds
79,Hamilton,US,2022-03-14 03:37:11,39.1834,-84.5333,45.23,59,0,10.36,clear sky
80,Kayerkan,RU,2022-03-14 03:37:11,69.3497,87.7602,-4.49,70,100,5.41,overcast clouds
81,Wexford,IE,2022-03-14 03:37:12,52.3342,-6.4575,38.21,85,1,7.72,clear sky
82,Sobolevo,RU,2022-03-14 03:37:12,54.4299,31.8996,24.37,92,89,7.9,overcast clouds
83,Thompson,CA,2022-03-14 03:35:56,55.7435,-97.8558,1.56,60,20,11.5,few clouds
84,Saskylakh,RU,2022-03-14 03:37:12,71.9167,114.0833,-7.58,95,93,3.33,overcast clouds
85,Arrifes,PT,2022-03-14 03:37:13,37.7667,-25.7,54.23,62,75,9.22,broken clouds
86,Lagunas,PE,2022-03-14 03:37:13,-5.2269,-75.6753,72.34,99,100,2.77,overcast clouds
87,Ribeira Grande,PT,2022-03-14 03:37:13,38.5167,-28.7,55.98,63,99,7.36,overcast clouds
88,Port Elizabeth,ZA,2022-03-14 03:37:13,-33.918,25.5701,61.09,88,20,18.41,light rain
89,Tukrah,LY,2022-03-14 03:37:14,32.5341,20.5791,46.99,67,16,8.12,few clouds
90,Naze,JP,2022-03-14 03:37:14,28.3667,129.4833,72.52,77,11,3.94,few clouds
91,Bluff,NZ,2022-03-14 03:37:14,-46.6,168.3333,65.8,73,72,8.39,broken clouds
92,Shellbrook,CA,2022-03-14 03:37:15,53.2168,-106.4011,15.03,91,100,6.11,overcast clouds
93,Ordynskoye,RU,2022-03-14 03:37:15,54.3656,81.8994,3.79,84,6,12.48,clear sky
94,Upernavik,GL,2022-03-14 03:37:15,72.7868,-56.1549,-12.05,99,98,15.5,overcast clouds
95,Georgetown,MY,2022-03-14 03:34:55,5.4112,100.3354,87.73,82,20,3.44,few clouds
96,Okoneshnikovo,RU,2022-03-14 03:37:16,54.8377,75.0834,1.06,91,50,10.0,scattered clouds
