City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiksi,RU,2022-03-14 02:30:27,71.6872,128.8694,-15.34,98,98,1.52
1,Bethel,US,2022-03-14 02:30:28,41.3712,-73.414,28.65,72,20,5.75
2,San Patricio,US,2022-03-14 02:30:28,28.017,-97.5169,64.26,77,84,8.52
3,Klaksvik,FO,2022-03-14 02:30:28,62.2266,-6.589,45.52,94,65,14.56
4,Nanortalik,GL,2022-03-14 02:30:29,60.1432,-45.2371,29.41,92,100,19.73
5,Hilo,US,2022-03-14 02:27:21,19.7297,-155.09,78.53,72,100,12.66
6,Hithadhoo,MV,2022-03-14 02:30:29,-0.6,73.0833,82.89,71,100,4.43
7,Mount Gambier,AU,2022-03-14 02:30:29,-37.8333,140.7667,76.91,61,100,9.22
8,Chokurdakh,RU,2022-03-14 02:30:30,70.6333,147.9167,-4.54,86,100,4.83
9,Beyneu,KZ,2022-03-14 02:30:30,45.3167,55.2,29.32,77,100,8.21
10,Belmonte,BR,2022-03-14 02:30:30,-15.8631,-38.8828,77.86,86,92,5.08
11,Khatanga,RU,2022-03-14 02:30:31,71.9667,102.5,-2.42,95,100,11.43
12,Teya,RU,2022-03-14 02:30:31,60.3778,92.6267,-1.14,90,65,0.43
13,Macheng,CN,2022-03-14 02:30:31,31.1783,115.0319,74.03,65,98,14.0
14,Vaini,TO,2022-03-14 02:30:32,-21.2,-175.2,84.36,79,40,5.75
15,Ribeira Grande,PT,2022-03-14 02:30:32,38.5167,-28.7,56.16,63,99,8.57
16,Constitucion,CL,2022-03-14 02:30:32,-35.3333,-72.4167,60.17,75,0,1.68
17,East London,ZA,2022-03-14 02:30:32,-33.0153,27.9116,66.27,92,100,18.7
18,Laguna,US,2022-03-14 02:30:33,38.421,-121.4238,62.89,46,0,8.05
19,Norman Wells,CA,2022-03-14 02:30:33,65.282,-126.8329,-3.96,59,0,0.0
20,Port Hedland,AU,2022-03-14 02:30:33,-20.3167,118.5667,95.05,59,0,10.36
21,Tilichiki,RU,2022-03-14 02:30:34,60.4667,166.1,14.34,71,0,6.64
22,Hobart,AU,2022-03-14 02:29:50,-42.8794,147.3294,64.26,85,75,12.66
23,Rikitea,PF,2022-03-14 02:30:34,-23.1203,-134.9692,80.33,71,88,14.38
24,Sanmenxia,CN,2022-03-14 02:30:35,34.7747,111.1814,68.04,23,99,5.77
25,Port Pirie,AU,2022-03-14 02:30:35,-33.1833,138.0167,89.69,24,70,6.87
26,Yara,CU,2022-03-14 02:30:35,20.2753,-76.9533,75.25,79,29,9.35
27,San Cristobal,VE,2022-03-14 02:30:36,7.7669,-72.225,71.78,97,100,1.72
28,Tessalit,ML,2022-03-14 02:30:36,20.1986,1.0114,70.57,11,0,8.32
29,Sinnamary,GF,2022-03-14 02:30:36,5.3833,-52.95,76.23,93,100,11.16
30,Aquiraz,BR,2022-03-14 02:30:01,-3.9014,-38.3911,82.06,82,95,4.14
31,Ushuaia,AR,2022-03-14 02:27:34,-54.8,-68.3,38.86,87,100,21.85
32,Upata,VE,2022-03-14 02:30:37,8.0086,-62.3989,70.07,89,100,4.74
33,Port Alfred,ZA,2022-03-14 02:30:37,-33.5906,26.891,66.24,87,100,28.05
34,Farafangana,MG,2022-03-14 02:30:37,-22.8167,47.8333,74.91,85,78,3.22
35,Butaritari,KI,2022-03-14 02:30:38,3.0707,172.7902,81.66,72,4,19.71
36,Castro,BR,2022-03-14 02:28:40,-24.7911,-50.0119,63.39,98,100,0.63
37,Mataura,NZ,2022-03-14 02:27:28,-46.1927,168.8643,65.48,47,41,5.44
38,Bluff,NZ,2022-03-14 02:30:38,-46.6,168.3333,65.8,73,62,6.42
39,Malinovoye Ozero,RU,2022-03-14 02:30:38,51.6753,79.7825,9.66,82,93,6.31
40,Kodinsk,RU,2022-03-14 02:27:33,58.6881,99.1844,-7.22,97,100,2.91
41,Balabac,PH,2022-03-14 02:30:39,7.9868,117.0645,84.74,70,88,6.73
42,Kapaa,US,2022-03-14 02:30:39,22.0752,-159.319,79.12,68,0,11.5
43,Chuy,UY,2022-03-14 02:27:31,-33.6971,-53.4616,60.3,83,0,5.48
44,Byron Bay,AU,2022-03-14 02:30:39,-28.65,153.6167,76.89,70,72,12.64
45,Atuona,PF,2022-03-14 02:30:40,-9.8,-139.0333,79.12,72,100,14.5
46,Santa Cruz,BO,2022-03-14 02:27:35,-17.8,-63.1667,74.66,73,75,5.75
47,Kavaratti,IN,2022-03-14 02:30:40,10.5669,72.642,83.19,70,30,6.24
48,Kodiak,US,2022-03-14 02:30:41,57.79,-152.4072,38.71,87,100,20.71
49,Mahebourg,MU,2022-03-14 02:30:41,-20.4081,57.7,79.25,88,75,5.75
50,Geraldton,AU,2022-03-14 02:30:41,-28.7667,114.6,81.01,57,22,10.36
51,Carnarvon,AU,2022-03-14 02:30:41,-24.8667,113.6333,82.47,51,0,14.97
52,Luderitz,NA,2022-03-14 02:30:42,-26.6481,15.1594,61.52,70,0,28.07
53,Port Hardy,CA,2022-03-14 02:30:42,50.6996,-127.4199,46.58,81,100,14.97
54,Mar Del Plata,AR,2022-03-14 02:30:43,-38.0023,-57.5575,66.09,89,1,8.01
55,Masakin,TN,2022-03-14 02:30:43,35.7292,10.5808,58.46,88,40,6.91
56,Nola,IT,2022-03-14 02:30:43,40.922,14.5329,48.92,71,1,4.63
57,Avarua,CK,2022-03-14 02:30:44,-21.2078,-159.775,84.25,74,20,5.75
58,New Norfolk,AU,2022-03-14 02:30:44,-42.7826,147.0587,63.9,64,100,1.99
59,Trat,TH,2022-03-14 02:30:44,12.5,102.5,87.82,61,99,3.36
60,Bredasdorp,ZA,2022-03-14 02:30:45,-34.5322,20.0403,52.92,71,64,8.05
61,Isangel,VU,2022-03-14 02:30:45,-19.55,169.2667,85.01,68,62,3.36
62,Altamira,BR,2022-03-14 02:29:50,-3.2033,-52.2064,72.14,98,100,2.1
63,Faanui,PF,2022-03-14 02:30:45,-16.4833,-151.75,82.09,72,99,10.76
64,Bengkulu,ID,2022-03-14 02:30:46,-3.8004,102.2655,81.03,78,100,7.87
65,Beringovskiy,RU,2022-03-14 02:30:46,63.05,179.3167,7.11,84,2,5.82
66,Liuzhou,CN,2022-03-14 02:30:46,24.3126,109.3892,74.53,72,100,2.35
67,Victoria,HK,2022-03-14 02:27:47,22.2855,114.1577,79.95,78,38,8.01
68,Kaitangata,NZ,2022-03-14 02:30:46,-46.2817,169.8464,62.2,70,29,7.05
69,Hasaki,JP,2022-03-14 02:30:47,35.7333,140.8333,70.2,66,14,3.06
70,Portland,US,2022-03-14 02:26:16,45.5234,-122.6762,50.83,87,100,8.01
71,Busselton,AU,2022-03-14 02:28:39,-33.65,115.3333,75.7,59,52,5.61
72,Bela Vista,BR,2022-03-14 02:30:47,-22.1089,-56.5211,68.65,88,23,1.54
73,Ankpa,NG,2022-03-14 02:30:48,7.3706,7.6253,73.99,74,9,2.48
74,Malatya,TR,2022-03-14 02:30:48,38.5,38.0,26.65,64,100,13.8
75,Quatre Cocos,MU,2022-03-14 02:30:48,-20.2078,57.7625,79.09,83,100,11.48
76,Puerto Ayora,EC,2022-03-14 02:30:48,-0.7393,-90.3518,77.56,95,34,2.93
